"id";"question_id";"user_id";"details";"date_modified"
"1";"1";"5";"Il s'agit d'une excellente question qui suscite beaucoup de débats.<br />
La société nord-américaine de gastro-nutrition (publication jointe) suggère un dépistage systématique à partir de 9-11 ans chez les enfants obèses (avec une définition stupide car basée sur les percentiles qui sont différents selon les pays) et ceux en surpoids (toujours avec la même définition stupide) avec des facteurs de risque. Ce dépistage repose sur le dosage des ALAT (SGPT). Elle suggère également une surveillance mais avec un degré d'évidence C (donc très discutable). Enfin, elle précise bien qu'aucun traitement spécifique n'a fait la preuve de son efficacité et que seule une réduction de l'excès pondéral est nécessaire. On notera enfin que la plupart des auteurs sont des hépatologues qui concentrent les exceptionnelles stéato-hépatites, complication très rare de la NASH chez l'enfant.<br />
En tant qu'expert de l'obésité de l'enfant, je ne partage pas du tout ce point de vue. En France, 10 à 20% des enfants obèses ont une NASH qui, dans l'extrême grande majorité des cas, va rester à ce stade et donc ne nécessiter ni surveillance durant l'âge pédiatrique, ni traitement. De plus, les très rares évolutions défavorables sont liées à une susceptibilité génétique individuelle et non au degré de surcharge pondérale. Donc, mon avis est de limiter la recherche d'une NASH par le dosage des ALAT aux enfants obèses ayant des antécédents familiaux de maladies hépatiques transmissibles (dont surtout la NASH se compliquant de stéato-hépatite), ayant une obésité sévère (zscore de l'IMC > 5 DS ou IMC > 35), avant une chirurgie bariatrique, et ceux ayant des médicaments hépato-toxiques. Dans ce cas, une simple surveillance est nécessaire et si les ALAT deviennent supérieures à 2 fois la normale (ce qui traduit l'existence d'une possible stéato-hépatite), l'enfant devra être adressé dans un service spécialisé. Mais je rappelle que ce dépistage ne conduit à aucune thérapeutique spécifique.<br />
<br />
";"2020-04-08 11:45:36"
"2";"1";"40";"Merci pour votre réponse.<br />
Bonne journée et bon courage.";"2020-04-08 12:21:07"
"3";"4";"5";"Oui, il existe une allergie croisée entre PLV et protéines des laits de chèvre et brebis.";"2020-04-09 18:45:26"
"4";"2";"2";"2 cas de figures<br />
1 Une cheleite, morsure de langue, léchage traumatique peuvent générer des lésions qui parfois saignotent. Chez les nouveaux nés ou petits nourrissons cela peut mettre être à l'origine de tuméfaction quand une dent prélactéale visible ou enfouie lèse la langue ou la lèvre (syndrome de Riga-Fede). Mais dans ce cas l'hémorragie est peu importante et la probabilité que ceci soit à l'origine d'une rectorragie est faible.<br />
2 Petite hémorragie buccale de cause virale, traumatique ou peptique (RGO ?), puis de manière dissociée rectorragies. Et là il faut suivre la pas à pas précis publié et proposé en document joint...sans avoir à faire bilan sanguin ni endoscopie";"2020-04-09 19:48:29"
"6";"2";"44";"Ok merci beaucoup... ce qui m a interpelé c est l âge 2,5 mois et non nouveau-né <br />
Amicalement et continuez cette superbe initiative <br />
";"2020-04-09 22:36:26"
"7";"2";"44";"Ok merci beaucoup... ce qui m a interpelé c est l âge 2,5 mois et non nouveau-né <br />
Amicalement et continuez cette superbe initiative <br />
";"2020-04-09 22:36:28"
"8";"2";"2";"effectivement il peut y avoir un décalage et survenir pendant les 3 à 5 premiers mois. je vous met à disposition un article du syndrome de Riga-Fede...qu'on évoquera donc pas ici";"2020-04-09 23:31:07"
"9";"2";"44";"Merci amicalement ";"2020-04-09 23:34:38"
"10";"2";"2";"ok on fait le job au mieux";"2020-04-09 23:35:35"
"11";"5";"1";"Quand le malheur ne serait bon / Qu’à mettre un sot à la raison / Toujours serait-ce à juste cause / Qu’on le dit bon à quelque chose. (Jean de La Fontaine, Le Mulet se vantant de sa généalogie, Fables, 1668-1694)<br />
Bien que les enfants ayant un régime pauvre en fibres sont plus facilement constipés que les autres (Morais et al., JPGN 1999), les recommandations de l'ESPGHAN n'incluent pas de régime riche en fibres chez les enfants constipés, mais un rééquilibrage de leur régime alimentaire (Tabbers et al., JPGN, 2014). Si du fait de leur date de parution, ces recommandations n'incluent pas non plus l'infection au SARS-CoV-2 pour traiter la constipation, elles n'indiquent pas non plus l'infection à Rotavirus comme piste thérapeutique.<br />
Même s'il est vrai que l'infection à SARS-CoV-2 s'accompagne de symptômes gastro-intestinaux chez 3 à 79% des patients (adultes et enfants confondus), la diarrhée est présente chez 2 à 49,5% d'entre eux. Chez l'enfant ce sont plutôt les vomissements qui prédominent (6,5 à 66,7% d'entre eux). Notez les intervalles très larges liés à la faiblesse des effectifs dans les études (cf PJ).<br />
En conclusion, nous ne recommandons pas l'infection à COVID19 pour traiter les enfants confinés et constipés.<br />
<br />
";"2020-04-10 13:44:04"
"12";"3";"1";"En effet, il semble que l'infection au SARS-CoV-2 et surtout sa gravité soient liées à une atteinte vasculaire inflammatoire avec en particulier des phénomènes thombotiques. En ce qui concerne l'atteinte hépatique, une élévation des transaminases a été retrouvée chez 14 à 53% des patients en fonction des cohortes, préférentiellement chez les patients ayant eu des formes sévères de la maladie. Cette atteinte du foie peut être liée à une aggression directe du SARS-CoV-2, une toxicité médicamenteuse ou une atteinte inflammatoire au cours de la 'tempête cytokinique' décrite dans les formes graves au bout de 7-10 jours d'évolution des symptômes. Pour l'instant il n'y a pas de données dans la littérature sur les particularités de l'infection au SARS-CoV-2 chez les patients ayant une hépatopathie chronique (alcoolique, HépB, ...).";"2020-04-10 14:01:07"
